"seed.plotcode","species","nsamples","growth1","growth2","growth3","growth4","browse1","browse2","browse3","browse4"
33,1,4,17.9,19.4,55.4,42.2,0,0,0,0
33,1,3,2.8,0.600000000000001,0.800000000000004,NA,0,0,1,NA
34,1,3,0.600000000000001,0.200000000000003,11.3,NA,0,0,0,NA
35,1,4,3.2,5.3,47,30.7,0,0,0,0
35,1,4,2.1,0.799999999999997,0.100000000000001,15.8,1,0,0,0
35,1,3,2.4,1.5,-2.3,NA,0,0,1,NA
36,1,4,-1.7,6.3,4.9,1.5,0,0,0,0
36,0,1,-1,NA,NA,NA,1,NA,NA,NA
36,1,4,2.09999999999999,5.60000000000001,4.59999999999999,25,0,0,0,0
36,1,4,1.7,26.8,15.3,23.2,0,0,0,0
37,0,4,1.7,0.699999999999996,0.300000000000004,54.9,0,0,0,0
37,1,4,0.899999999999999,9.6,8.5,50,0,0,0,0
37,1,4,-1.1,9.1,62.1,14.9,0,0,1,0
37,1,4,-0.400000000000006,2.2,2.8,25.2,0,0,1,0
37,1,4,10.1,6.6,53.2,38.6,0,0,0,0
37,0,2,10.5,6.2,NA,NA,0,0,NA,NA
37,1,4,-3,17.9,56.3,45.7,0,0,0,0
37,0,4,-2.6,5.9,19.9,-0.400000000000006,0,0,0,0
37,1,4,-1.7,0.899999999999999,12.7,22.1,0,0,1,0
38,1,4,1.9,5.8,7.2,19.7,0,0,0,0
38,1,4,0.700000000000003,0.599999999999994,31,70.5,0,0,1,0
38,0,1,2.7,NA,NA,NA,0,NA,NA,NA
38,0,3,0.199999999999996,0.900000000000006,7.3,NA,0,0,1,NA
39,1,1,0.199999999999999,NA,NA,NA,0,NA,NA,NA
39,1,2,1.1,9.1,NA,NA,0,1,NA,NA
39,0,4,1.3,4,28,69.5,0,0,0,0
39,1,4,12,6.4,47.9,18.2,0,0,0,0
39,1,4,2,7.7,33.7,68.4,0,0,0,0
39,1,4,0.899999999999999,19.3,23.4,71.2,1,1,0,0
39,1,4,-0.399999999999999,11.1,36.5,32,0,0,0,0
40,1,4,2.5,1.3,8.5,36.7,0,1,0,0
40,1,4,-1.2,0.199999999999999,1.5,-2,0,1,0,0
40,0,1,4,NA,NA,NA,0,NA,NA,NA
41,1,4,0.899999999999999,4.9,5.2,1.5,0,0,0,0
41,1,1,10.1,NA,NA,NA,0,NA,NA,NA
41,1,1,-5.1,NA,NA,NA,0,NA,NA,NA
41,0,4,1,2.5,-1.5,7,0,0,0,0
42,1,4,3.5,2.5,4,5,0,0,0,0
42,0,1,1.1,NA,NA,NA,0,NA,NA,NA
42,1,1,2.9,NA,NA,NA,0,NA,NA,NA
42,1,1,2.6,NA,NA,NA,0,NA,NA,NA
42,0,4,-0.799999999999997,2,6.3,3,0,0,0,0
42,1,1,1.6,NA,NA,NA,0,NA,NA,NA
43,0,4,-0.599999999999994,1.09999999999999,1.40000000000001,-2.90000000000001,1,1,0,1
43,0,3,-0.399999999999999,0.5,0.5,NA,1,0,0,NA
43,1,4,1.5,-0.0999999999999943,0.5,-3,0,0,0,1
43,1,3,-0.5,0.300000000000004,0.799999999999997,NA,1,0,1,NA
43,1,3,2.8,0.5,-6,0,0,0,1,0
43,0,1,1.1,NA,NA,NA,0,NA,NA,NA
43,1,1,4.4,NA,NA,NA,1,NA,NA,NA
43,0,4,5.7,5.5,-28.8,4.6,1,0,1,0
44,1,2,-3.2,0.299999999999997,0,3.5,0,0,1,1
44,1,4,0.0999999999999943,0.200000000000003,0.5,-3,0,1,1,1
45,1,4,2.9,2.2,-1,5.6,0,0,0,0
45,0,4,1.80000000000001,0.0999999999999943,-8.59999999999999,11,0,0,0,0
45,1,4,4.4,0.5,0.399999999999999,1.8,0,0,0,0
45,0,4,-4.4,7.4,2.9,3.8,0,0,0,0
45,1,4,2.2,7.5,2.40000000000001,11.2,0,0,0,0
45,0,4,1.2,1.1,7.4,6.8,0,0,0,0
45,1,1,3.1,0,3.9,1,0,0,0,0
45,0,2,2.40000000000001,1.3,NA,NA,0,0,NA,0
45,0,2,-0.899999999999999,2.1,NA,NA,0,0,NA,NA
46,1,4,1.6,0.600000000000001,1.4,2.4,0,1,0,0
46,1,2,3.5,3.5,NA,NA,0,0,NA,NA
46,0,1,3.6,NA,NA,NA,0,NA,NA,NA
