"unit","treecode","species","height","dbh","volume","llc","N","NE","E","SE","S","SW","W","NW","length","crownarea","edge","shelter","syr1","syr2","syr3","syr4","syr5","syr6","mast1","mast2","mast3","mast4","mast5","mast6"
7,81,0,32.8,59.182,1950.57356,20.2,6.2,6.1,5.7,8,8.8,7.9,5.7,5.9,12.6,131.999158377999,1,0,1,2,4,5,6,NA,0,6,1.61,0,0,0
7,82,0,37.4,74.676,2024.75565,21.6,7.2,7.6,5.6,6.9,8.6,5.2,5.6,6.8,15.8,125.914504525889,1,0,1,2,4,5,6,NA,0,6,1.61,1,3,0
7,83,1,28.2,55.626,2547.841106,18.7,5.9,11.3,7.3,7.1,7.7,10.4,7.3,7.5,9.5,180.545574440361,0,0,1,2,4,5,6,NA,0,0,1.61,0,3,0
7,84,0,26.6,51.562,919.380925,16.7,4.2,4.7,5,6.4,5,5.7,5.1,4.9,9.9,74.3805623130129,1,0,1,2,4,5,6,NA,1,0,1.61,0,0,0
7,85,1,35.4,52.07,1497.257197,21.7,5.4,5.6,5.4,5.6,6.1,7.3,5.4,5.1,13.7,93.3062753114709,1,0,1,2,4,5,6,NA,2,2,1.61,0,18,30
7,86,0,31.7,57.658,2768.321803,19,7.3,9.5,7.5,7.2,9.5,12.2,7,6.5,12.7,197.017626908102,1,0,1,2,4,5,6,NA,7,18,1.61,1,4,7
7,87,1,30.5,42.672,959.573952,15.7,5,5.1,5.4,5.6,5.7,5.4,5.4,5.6,14.8,82.5122902966582,1,0,1,2,4,5,6,NA,10,0,1.61,0,77,0
7,88,0,24,61.722,1200.205003,12.9,5.6,7.3,7.5,7.7,5.9,6.9,7.5,4.9,11.1,125.674088220285,1,0,1,2,4,5,6,NA,4,0,1.61,0,6,0
7,89,1,28.6,59.69,2348.610837,18.3,5.8,7.3,8.1,6.7,10.2,11.4,8.1,5,10.3,177.554512755942,1,0,1,2,4,5,6,NA,12,6,1.61,0,11,0
8,90,0,38.1,51.308,777.1655565,21.4,5.1,3.9,2.4,4.6,5.8,3.9,4.1,3.5,16.7,48.7125861559413,0,0,1,2,4,5,6,NA,3,2,1.61,0,14,16
